time,time_s,target_x_deg,target_y_deg,gimbal_pitch_rad,held_gimbal_pitch_rad,orientation_x,orientation_y,orientation_z,orientation_w,position_x_m,position_y_m,position_z_m,velocity_x_mps,velocity_y_mps,velocity_z_mps,angular_x_radps,angular_y_radps,angular_z_radps,world_los_x,world_los_y,world_los_z,world_los,world_az_deg,world_el_deg,held_world_az_deg,held_world_el_deg,forward_world_x,forward_world_y,forward_world_z,gimbal_offset_s,attitude_offset_s,ground_hit_valid,ground_hit_x_m,ground_hit_y_m,ground_hit_z_m,world_az_unwrapped_deg,az_rate_gradient_deg_s,el_rate_gradient_deg_s,az_rate_savgol_deg_s,el_rate_savgol_deg_s,az_rate_local_polynomial_deg_s,el_rate_local_polynomial_deg_s,az_rate_spline_deg_s,el_rate_spline_deg_s
1769096181.867826,8.35797905921936,0.487138659,-7.397174358,-0.02473763171205257,-0.023348432,-0.20880082263047972,-0.052697734025368904,0.9574496743363023,0.19213351194087722,245.41811292508876,148.20564257069032,109.25325776944071,-9.607540023439766,-4.826947813281327,-3.3659935808172685,-2.5068599981170267e-05,0.12284332378099108,0.023418090041173463,-0.8839131505724755,-0.37733197102892524,-0.27625735444412586,[-0.88391315 -0.37733197 -0.27625735],-156.8829426206024,-16.03695829430324,-156.89721088252892,-16.090604654849304,-0.8389738601161998,-0.3459096764432474,-0.42008256067665045,0.0027310848236083984,0.005966901779174805,True,-104.14865781159719,-1.0202384141801701,0.0,-156.8829426206024,1.7463817634852603,-0.5258361308002009,0.3378839669878208,4.495237145250041,0.09138967137729992,2.972870324953922,0.5130735106935986,4.179674187357983
1769096181.888603,8.378756046295166,0.544483006,-7.311720848,-0.02744551366680175,-0.025013741,-0.2096581755516482,-0.05236780956202712,0.9572506952441682,0.19228148220925023,245.18949656106003,148.0908207069246,109.18133616634742,-9.626347621771947,-4.839449403871108,-3.3844570215938568,0.02395096103333604,0.08411165777147131,0.01113138619948285,-0.8832521286234458,-0.37860817305289496,-0.2766252493531661,[-0.88325213 -0.37860817 -0.27662525],-156.79748862322796,-16.058891853208003,-156.79999837931302,-16.158651407002655,-0.8381425620475361,-0.34616448623394636,-0.4215295887061548,0.0066640377044677734,0.009018898010253906,True,-103.42165806192497,-1.342198563995538,-1.4210854715202004e-14,-156.79748862322796,2.390649972322535,0.5083746997810863,0.20042141443247924,3.8853574730412284,0.4475012553675256,3.8919947164358657,0.292256422242263,3.3887432917668794
1769096181.907891,8.398044109344482,0.544483006,-7.311720848,-0.029650756401029384,-0.028343525,-0.21045722995691157,-0.052230996880021814,0.9570702449548705,0.19234402394097694,244.96156172414132,147.97611545742245,109.11127427347098,-9.625922657725217,-4.838162679018005,-3.4278612163770426,-0.00734526096643507,0.09605479080428614,0.028423355886975244,-0.8833187536285921,-0.37891547823627386,-0.27599101405844095,[-0.88331875 -0.37891548 -0.27599101],-156.78221622878698,-16.021080829628332,-156.7967187164755,-16.058057330829605,-0.8374230616261131,-0.3461887023750776,-0.4229373454834737,0.0034499168395996094,0.004436969757080078,True,-104.25283254472944,-1.8256844792484799,0.0,-156.78221622878698,0.9527200439706576,6.902480735430515,0.1116863251545998,3.444943852124081,0.42423606417259463,4.745457701596195,0.09098808502851342,2.7027428595761047
1769096181.92787,8.418023109436035,0.544623971,-7.511203289,-0.03248373511755381,-0.031672474,-0.21172728341657837,-0.05122935684414804,0.9568384670898874,0.19237270687767866,244.89196358400756,147.9411122975729,109.0864862060571,-9.624163456117504,-4.837339133937245,-3.445475644423526,0.05245258532644151,0.10939528055549848,0.10023782547283934,-0.8842260845998531,-0.3797134168502654,-0.2719594682615588,[-0.88422608 -0.37971342 -0.27195947],-156.75985175871477,-15.780899958395572,-156.75992173143968,-15.826295294028647,-0.8363285982111812,-0.34644590680596066,-0.4248878787062726,0.009901046752929688,0.00040411949157714844,True,-109.78263994172625,-4.3668866637053725,0.0,-156.75985175871477,0.4268347840743445,7.800364655697479,0.04075103839661636,3.147597560521109,0.0636527350269045,5.338359887344483,-0.11370898797995506,2.0411521426166654
1769096181.950518,8.44067096710205,0.544623971,-7.511203289,-0.034797783050567944,-0.033336118,-0.21240481734635858,-0.0506755320652796,0.9567458075220445,0.19223330566515243,244.6251722038725,147.80706508519702,109.00140865607095,-9.647489726750258,-4.8680534296961016,-3.459051434629842,0.0030543889500963114,0.09002268719166491,-0.025851892258102947,-0.8845770661540895,-0.3797157863637578,-0.270812362384691,[-0.88457707 -0.37971579 -0.27081236],-156.7679652220109,-15.712612855200236,-156.7847389823402,-15.775634705233879,-0.8358610995222164,-0.34630936425796605,-0.4259178870777267,0.001692056655883789,0.006342887878417969,True,-111.41524421805096,-5.0277436293443145,0.0,-156.7679652220109,-3.4523607425808223,4.5354420826392925,0.017446582901908318,2.980271440975135,-0.38252589196102815,5.193240239171244,-0.34109721080716776,1.351462109896427
1769096181.968546,8.458698987960815,0.401117802,-7.568118095,-0.03649104972181012,-0.034999762,-0.21292783711142618,-0.050333620810237796,0.9565906919274624,0.19251626143502806,244.41802007050975,147.70597328221217,108.96713593501823,-9.703116379726339,-4.8959618857035805,-3.4516503347209295,-0.0023655362732819896,0.07413148453396441,-0.014532152498622953,-0.8857310781906621,-0.3782603785269504,-0.2690716320310564,[-0.88573108 -0.37826038 -0.26907163],-156.8746067718913,-15.609031024609543,-156.87784486441723,-15.691676285248459,-0.8351984505322599,-0.34688366944062227,-0.42674965507182494,0.0018880367279052734,0.0029578208923339844,True,-114.28043532047795,-5.479815106733497,0.0,-156.8746067718913,-2.322503663534917,5.406717185949333,0.0991889212415357,2.783137795193003,-0.600253501394362,4.35311214316939,-0.5185672314262908,0.8482450207414468
1769096181.988029,8.478182077407837,0.415528715,-7.682128429,-0.036968782777767925,-0.036663406,-0.21335892439236318,-0.050058921045721315,0.9564923853862826,0.1925990407658652,244.05573133378638,147.5368163712291,108.89591786706487,-9.871558789103036,-4.927463450324414,-3.4308632264582073,0.07280588290213255,0.03936417469546057,-0.04124075440552163,-0.8859529905145618,-0.3789110637531554,-0.26742046362190974,[-0.88595299 -0.37891106 -0.26742046],-156.84420737532074,-15.510826890279708,-156.8501656345344,-15.4961656529187,-0.8347671577564051,-0.34707799674938994,-0.42743497342136616,0.0029621124267578125,0.005487918853759766,True,-116.71196303965908,-6.759034883159387,0.0,-156.84420737532074,2.040761123295397,3.9790470894307077,0.20432322432891165,2.4156363417491966,-0.05905737017037127,2.522471721866445,-0.7068387643292142,0.3500442093458712
1769096182.007824,8.497977018356323,0.415528715,-7.682128429,-0.038326215,-0.038326215,-0.21369594159700103,-0.04928746745266452,0.9563846500242424,0.19295904045957826,243.969101,147.4934235,108.8656311,-9.883008003,-4.929752827,-3.425420761,0.07489789943890407,0.020169305675607416,0.038953888668045195,-0.885867458029707,-0.3797903894666483,-0.26645469947583483,[-0.88586746 -0.37979039 -0.2664547 ],-156.79414762896516,-15.453409209579943,-156.83930871055048,-15.455160897443768,-0.8342017064997801,-0.34802106522543746,-0.4277719614843953,0.0066280364990234375,0.0018351078033447266,True,-117.97054607349119,-7.677870218357555,0.0,-156.79414762896516,1.275935470217064,-1.434734305482607,0.12002684324856508,1.7821040717272654,0.3555102695407899,0.819813918133292,-0.8943765098256204,-0.10758502505833739
1769096182.02838,8.518532991409302,0.429803818,-7.525383949,-0.038326215,-0.038326215,-0.21353822252804908,-0.04859849811331556,0.956481934348885,0.19282614647631935,243.75424811411202,147.38635402499713,108.7919221732024,-9.924942133641697,-4.9536409254905225,-3.369357147314471,0.03904539410011538,0.058396939249717894,0.08750485284997908,-0.8853472687763605,-0.3795578911473205,-0.26850702213915806,[-0.88534727 -0.37955789 -0.26850702],-156.79466599028612,-15.575445270547661,-156.77514249839533,-15.610045888824596,-0.834439009509309,-0.3481141773401224,-0.42723302651355666,0.008321046829223633,8.296966552734375e-05,True,-114.96497789948714,-6.400434212233591,0.0,-156.79466599028612,-0.10733160191284696,-3.1991672317834627,-0.2704093209569302,0.8484515278574919,0.6385206765460008,-0.5913634170980338,-1.0851266183976507,-0.5310188614763299
1769096182.047979,8.538132190704346,0.429803818,-7.525383949,-0.038326215,-0.038326215,-0.21368112029511066,-0.04839693699268041,0.9564693551953014,0.19278093238553778,243.5325749512207,147.27553508024906,108.73420277988717,-9.95656813846319,-4.984308896982871,-3.358754472359528,-0.012085799899973135,0.048383056205110374,-0.005053160801289446,-0.885321627385465,-0.3794803534547078,-0.2687010930856851,[-0.88532163 -0.37948035 -0.26870109],-156.79830407466554,-15.586988938763838,-156.80658219121548,-15.579463955680504,-0.8343517818759782,-0.348095084754593,-0.4274188999682544,0.005780935287475586,0.002407073974609375,True,-114.72700729340139,-6.2872704509119615,0.0,-156.79830407466554,0.6825971623211444,1.1220975061517038,-0.804651480633922,-0.03972599964507406,0.18561898472648686,-1.4162432845859758,-1.2632051879647896,-0.885604797282219
1769096182.06794,8.558093070983887,0.429819494,-7.553880692,-0.03977542886226755,-0.038326215,-0.2142032890131984,-0.04815773409131461,0.9563212912530845,0.1929957810915867,243.2567627892869,147.13737817692476,108.64155066622469,-10.002179361134315,-4.997175386949789,-3.342682354719254,-0.043754578723543304,0.037643449792316944,0.027276180386920545,-0.8853603373029014,-0.3800691561987128,-0.26773963030767717,[-0.88536034 -0.38006916 -0.26773963],-156.7670285590947,-15.529805850173455,-156.75445564870188,-15.598108408442526,-0.8337391589135532,-0.3485008590922424,-0.4282828108926275,0.002089977264404297,0.007280111312866211,True,-115.99868188442181,-7.084476997750642,0.0,-156.7670285590947,-1.0277893570064407,0.7720698923968712,-1.368517183172606,-0.8327889236694455,-0.4160245945393619,-1.4804830173696457,-1.4407641361245547,-1.1974298238448335
1769096182.087756,8.577908992767334,0.429819494,-7.553880692,-0.039989028,-0.039989028,-0.21448152539075105,-0.04842110465095526,0.9563652872918589,0.19240194685501044,243.1366425,147.077301,108.6014099,-10.02174091,-4.998209,-3.332842827,-0.05122270515371497,0.026900570273207892,0.054303180240634415,-0.8857221054670147,-0.3789178457433186,-0.26817460369006135,[-0.88572211 -0.37891785 -0.2681746 ],-156.83843675258456,-15.555673964663248,-156.78358249022662,-15.5361187247971,-0.8339583322249168,-0.3472422215857259,-0.4288780009056715,0.0016050338745117188,0.006133079528808594,True,-115.550079172143,-6.37127958056368,0.0,-156.83843675258456,-2.0364264813592854,-3.7688035341019486,-1.9045762733225793,-1.633793856437435,-1.1215514747297597,-1.2031061289607567,-1.613234709240619,-1.4577758578829012
1769096182.108456,8.59860897064209,0.458458304,-7.439902306,-0.039989028,-0.039989028,-0.21458243932870058,-0.04865409769820358,0.9563910881578108,0.19210216552979476,243.0127489404106,147.01542040914927,108.56015110183903,-10.03561072314317,-5.01601157270344,-3.339455915853358,-0.03898034888282188,-0.013679646115518185,0.04565088566303374,-0.8852094691285597,-0.3785474509086704,-0.2703812552224759,[-0.88520947 -0.37854745 -0.27038126],-156.84670350312217,-15.686955010902368,-156.84145666340822,-15.681123070369987,-0.8341022694610157,-0.34656896832218975,-0.42914258035771297,0.002343893051147461,0.0072650909423828125,True,-112.40565329425286,-4.97428921790015,0.0,-156.84670350312217,-1.010736337931121,-3.0899750281850515,-2.442516959640391,-2.3919523160504492,-1.855410195789105,-1.0406359818862878,-1.789357645794562,-1.6773714569656966
1769096182.128024,8.61817717552185,0.458458304,-7.439902306,-0.039989028,-0.039989028,-0.21450052144848297,-0.04906221772272098,0.9564359196071521,0.1918665076965714,242.80237042702802,146.91035316022092,108.50442312166204,-10.0572298092385,-5.041316052366329,-3.350203075603206,-0.05316264712918533,-0.03545090177539112,0.015838286372296735,-0.8854134011877076,-0.3780665271947507,-0.27038640870449965,[-0.8854134  -0.37806653 -0.27038641],-156.87779122231746,-15.687261707313713,-156.84932120837456,-15.68986292919803,-0.8343535390453009,-0.3459682968912807,-0.42913879972420155,0.0059680938720703125,0.005633831024169922,True,-112.50864827530424,-4.805447317415684,0.0,-156.87779122231748,-2.7328103622344315,0.691892197008201,-2.8754314579283773,-2.854796012195852,-3.1036697581952097,-2.0205783302751374,-1.9520532741353303,-1.83576102676337
1769096182.14927,8.639423131942749,0.429767281,-7.454135895,-0.039989028,-0.039989028,-0.21427303932737168,-0.04947265443378449,0.9565511683737187,0.19144028667853483,242.5811371504789,146.79979312759582,108.43740909283886,-10.078853524373427,-5.055125489469205,-3.359095681776011,-0.06102715360934097,-0.05881551374856756,0.05882336356198068,-0.8861042952591427,-0.3768182623803783,-0.2698651053025019,[-0.8861043  -0.37681826 -0.26986511],-156.9622445615502,-15.656239991317134,-156.9202389593452,-15.671569538957746,-0.834875362507702,-0.3450435477340647,-0.42886837053427385,0.0016970634460449219,0.0069408416748046875,True,-113.47398845099517,-4.6136177525953315,0.0,-156.9622445615502,-3.75872864358098,0.12392567424461731,-3.2168948666090333,-3.1255513535526815,-4.3400511272273565,-3.2014707908188456,-2.1245189113825336,-1.9535885036834448
1769096182.167876,8.658029079437256,0.429767281,-7.454135895,-0.038741985334462964,-0.039989028,-0.21366488287693122,-0.050235163142776124,0.956743408706615,0.19096019508173182,242.3244171,146.6713257,108.3514633,-10.08376694,-5.056843281,-3.415182829,-0.024864405797334378,-0.04094389525774206,0.031425892125637005,-0.886455994654759,-0.37575514120662795,-0.2701922341545541,[-0.88645599 -0.37575514 -0.27019223],-157.02865483917967,-15.675706219975021,-157.01705546658303,-15.622571137688428,-0.8357630434390685,-0.343932835441143,-0.42803076983656396,0.002585887908935547,0.005003929138183594,True,-113.15879829455764,-4.012573560211337,0.0,-157.02865483917967,-4.232240197793544,-4.204156182173676,-3.4575188303110735,-3.248620564803264,-4.998237522533029,-3.8743107084940034,-2.2719803901092215,-2.01047815899511
1769096182.189172,8.679325103759766,0.372316658,-7.354373455,-0.036663406,-0.036663406,-0.2131719774395434,-0.05045855818231695,0.9569075791467894,0.19062929185229543,242.08116501714682,146.56105169165807,108.31642433729247,-10.21352259597529,-5.0920223768340165,-3.438704290039631,-0.008813083009996166,0.002608512272609324,0.05278259324338749,-0.8864242828895812,-0.3738033589116658,-0.2729890832433562,[-0.88642428 -0.37380336 -0.27298908],-157.13494383027796,-15.842212430726045,-157.11130409758104,-15.858698115159997,-0.8364363622448143,-0.3433165271087481,-0.4272095201755808,0.0034050941467285156,0.004467964172363281,True,-109.63366411672035,-1.7563929531420968,0.0,-157.13494383027796,-8.284490190365432,-9.200638466845646,-3.678966448967711,-3.246820040958601,-5.140447309631454,-4.156466032153245,-2.4366665613481273,-2.0225361376269926
1769096182.208509,8.698662042617798,0.200096622,-7.140618324,-0.036663406,-0.036663406,-0.2131030988268871,-0.05041586500880306,0.9569860764898875,0.19032330185839946,241.79554860373418,146.4232977339174,108.23837322375212,-10.290982337117086,-5.104326705998851,-3.4431611317728654,-0.02158754334892979,0.024011874272536128,0.044929243495549546,-0.8869457333957413,-0.37005439170150284,-0.2763820059148599,[-0.88694573 -0.37005439 -0.27638201],-157.3529674201841,-16.044389630778557,-157.324720943762,-16.04727505178528,-0.8367282200801893,-0.34278594569331255,-0.4270640246574044,0.006193876266479492,0.002140045166015625,True,-105.55544120736187,1.5003848637699377,0.0,-157.3529674201841,-6.376317950712291,-5.6089043703867105,-3.7547895061655643,-3.101359448835986,-4.7834634143684855,-4.057458586867158,-2.582415870411891,-1.9844262873621035
1769096182.228092,8.718245029449463,0.200096622,-7.140618324,-0.036663406,-0.036663406,-0.2132125823814413,-0.050472078785903464,0.9570045983159191,0.1900925111082836,241.60208503204308,146.3273176885063,108.17394896651706,-10.338620283698024,-5.124341626218097,-3.4234596384500895,-0.018758636209048475,0.014473995186032316,0.04615348642143627,-0.8870635194411725,-0.3695998307865188,-0.27661214282676916,[-0.88706352 -0.36959983 -0.27661214],-157.38068370297322,-16.058110412558822,-157.35703280548302,-16.04397426607721,-0.8368104638695683,-0.3423162499598906,-0.42727957191023713,0.005720853805541992,0.002476930618286133,True,-105.29940273880447,1.7889296591249035,0.0,-157.38068370297322,-1.2997575445115217,-0.07491451080602474,-3.6534822094633292,-2.9212601818863293,-3.887427818391142,-3.337740771492218,-2.7263463414258737,-1.898243273825724
