time,target_x_deg,target_y_deg,gimbal_pitch_rad,orientation_w,orientation_x,orientation_y,orientation_z,position_x,position_y,position_z,angular_x,angular_y,angular_z,vel_x,vel_y,vel_z
1769096195.252200,,,,0.109903246,-0.260954559,-0.005308059,0.959059894,57.73661804,68.62895203,43.34194183,-0.062157631,0.032522544,-0.119246647,-6.9847579,-3.151202679,-7.010529995
1769096195.259901,,,-0.165483832,,,,,,,,,,,,,
1769096195.266459,,,,,,,,,,,,,,,,
1769096195.268135,,,,,,,,,,,,,,,,
1769096195.268284,-1.341448307,2.78536725,,,,,,,,,,,,,,
1769096195.269751,,,,0.110669643,-0.261180609,-0.006334805,0.958903968,57.58496475,68.56038666,43.18236923,-0.025525387,0.041463532,-0.137169376,-6.994562149,-3.152512312,-7.159425735
1769096195.285545,,,-0.165483832,,,,,,,,,,,,,
1769096195.288124,-1.341448307,2.78536725,,,,,,,,,,,,,,
1769096195.289707,,,,0.111440673,-0.261761934,-0.006855513,0.958652616,57.45336914,68.50120544,43.04675293,-0.049054582,0.08216504,-0.100176342,-7.005456448,-3.148924589,-7.279660702
1769096195.299280,,,,,,,,,,,,,,,,
1769096195.300408,,,-0.167124182,,,,,,,,,,,,,
1769096195.302428,,,,0.112205788,-0.261954695,-0.00714707,0.958508492,57.30311203,68.43377686,42.88919067,-0.028160699,0.101870157,-0.104838349,-7.020374775,-3.142188072,-7.417896748
1769096195.309108,-1.341448307,2.78536725,,,,,,,,,,,,,,
1769096195.320405,,,,,,,,,,,,,,,,
1769096195.325642,,,-0.167124182,,,,,,,,,,,,,
1769096195.326396,,,,0.113064729,-0.262368292,-0.007338403,0.958293021,57.30311203,68.43377686,42.88919067,-0.050331157,0.105116159,-0.105513729,-7.020374775,-3.142188072,-7.417896748
1769096195.328087,,,-0.167124182,,,,,,,,,,,,,
1769096195.330351,,,,,,,,,,,,,,,,
1769096195.330507,-1.027351856,2.543582916,,,,,,,,,,,,,,
1769096195.336269,,,,0.113707207,-0.263021916,-0.007858167,0.958033681,57.1511116,68.36571503,42.72735214,-0.032195531,0.053665314,-0.107384145,-7.032083511,-3.148756027,-7.556426525
1769096195.344995,,,-0.168763682,,,,,,,,,,,,,
1769096195.348087,-1.027351856,2.543582916,,,,,,,,,,,,,,
1769096195.352194,,,,0.114584707,-0.263464451,-0.007869003,0.957807362,57.02170563,68.30755615,42.57062912,-0.02802315,0.008855887,-0.116161309,-7.036192417,-3.160634995,-7.676433086
1769096195.357823,,,,,,,,,,,,,,,,
1769096195.365129,,,-0.168763682,,,,,,,,,,,,,
1769096195.368859,,,,,,,,,,,,,,,,
1769096195.369003,-0.770407796,2.273495913,,,,,,,,,,,,,,
1769096195.371298,,,,0.115083158,-0.263703376,-0.009074472,0.957671225,56.87961578,68.23293304,42.12815476,-0.040672578,-0.02653357,-0.113199756,-7.008756161,-3.15295887,-7.564412117
1769096195.378816,,,-0.170403197,,,,,,,,,,,,,
1769096195.386367,,,,0.115747787,-0.263448,-0.009498992,0.957657278,56.72933197,68.16536713,41.96505356,-0.038117066,-0.029384656,-0.096120089,-7.021650314,-3.156879663,-7.683878899
1769096195.388334,-0.770407796,2.273495913,,,,,,,,,,,,,,
1769096195.391818,,,,,,,,,,,,,,,,
1769096195.394769,,,-0.168763682,,,,,,,,,,,,,
1769096195.401638,,,,,,,,,,,,,,,,
1769096195.406471,,,,0.11644613,-0.263318539,-0.009587462,0.957607269,56.72933197,68.16536713,41.96505356,-0.038292661,-0.063045174,-0.106227726,-7.021650314,-3.156879663,-7.683878899
1769096195.407805,,,,,,,,,,,,,,,,
1769096195.407980,-0.613448262,2.173980951,,,,,,,,,,,,,,
1769096195.411160,,,-0.168763682,,,,,,,,,,,,,
1769096195.419338,,,,0.117047586,-0.262676746,-0.010542574,0.957700193,56.59976959,68.10696411,41.82236481,-0.025078887,-0.068505041,-0.11233107,-7.036287785,-3.165161848,-7.784202099
1769096195.419654,,,,,,,,,,,,,,,,
1769096195.428230,,,,,,,,,,,,,,,,
1769096195.428414,-0.31385237,2.017623901,,,,,,,,,,,,,,
1769096195.434574,,,-0.167124182,,,,,,,,,,,,,
1769096195.435359,,,,0.117578819,-0.261830181,-0.011496504,0.957855999,56.44726944,68.03837585,41.65971375,-0.053575635,-0.089353405,-0.088926524,-7.050023079,-3.175593853,-7.893101692
1769096195.442527,,,,,,,,,,,,,,,,
1769096195.445933,,,-0.165483832,,,,,,,,,,,,,
1769096195.447825,,,,,,,,,,,,,,,,
1769096195.448018,-0.142669842,1.847110033,,,,,,,,,,,,,,
1769096195.453172,,,,0.118128031,-0.260860473,-0.012411633,0.958041489,56.29379273,67.96910858,41.4871254,-0.06435287,-0.109801307,-0.08722879,-7.071359634,-3.185819387,-7.991923809
1769096195.460156,,,-0.163843498,,,,,,,,,,,,,
1769096195.467961,-0.142669842,1.847110033,,,,,,,,,,,,,,
1769096195.469028,,,,0.118676059,-0.260011256,-0.013273526,0.958193123,56.16190338,67.90956879,41.33752441,-0.067436822,-0.101364471,-0.080256917,-7.104952812,-3.197513819,-8.072285652
1769096195.472849,,,,,,,,,,,,,,,,
1769096195.478771,,,-0.162203148,,,,,,,,,,,,,
1769096195.486165,,,,0.119195588,-0.259203106,-0.014107874,0.958335578,56.16190338,67.90956879,41.33752441,-0.099939175,-0.097064622,-0.075093932,-7.104952812,-3.197513819,-8.072285652
1769096195.488083,,,,,,,,,,,,,,,,
1769096195.489386,0.028478676,1.705024481,,,,,,,,,,,,,,
1769096195.493757,,,-0.158921644,,,,,,,,,,,,,
1769096195.500238,,,,,,,,,,,,,,,,
1769096195.504712,,,,0.11976783,-0.258444995,-0.014929252,0.958456576,56.00836563,67.84059143,41.17056656,-0.073243745,-0.095845275,-0.087878637,-7.159698486,-3.205225468,-8.154912949
1769096195.505819,,,,,,,,,,,,,,,,
